t [s],v [É m/sec]
3.32,44.464
3.33,44.874
3.34,43.613
3.35,40.54
3.36,36.054
3.37,30.6
3.38,23.636
3.39,15.8
3.4,6.462
3.41,-2.511
3.42,-11.498
3.43,-20.173
3.44,-27.974
3.45,-33.993
3.46,-38.93
3.47,-42.566
3.48,-44.484
3.49,-44.736
3.5,-43.293
3.51,-39.956
3.52,-35.658
3.53,-30.311
3.54,-23.433
3.55,-14.684
3.56,-5.42
3.57,3.844
3.58,12.479
3.59,20.592
3.6,27.078
3.61,32.348
3.62,36.005
3.63,38.396
3.64,39.363
3.65,38.91
3.66,37.034
3.67,33.761
3.68,30.047
3.69,26.2
3.7,21.23
3.71,15.741
3.72,9.151
3.73,2.217
3.74,-4.443
3.75,-9.87
3.76,-14.985
3.77,-19.471
3.78,-22.223
3.79,-23.861
3.8,-24.863
3.81,-25
3.82,-24.546
3.83,-23.479
3.84,-21.025
3.85,-18.217
3.86,-15.003
3.87,-10.881
3.88,-6.177
3.89,-1.265
3.9,3.406
3.91,8.157
3.92,12.085
3.93,15.18
3.94,17.749
3.95,19.905
3.96,21.465
3.97,21.623
3.98,20.39
3.99,18.272
4,15.549
4.01,11.659
4.02,7.506
4.03,2.502
4.04,-2.365
4.05,-7.522
4.06,-12.115
4.07,-15.83
4.08,-18.804
4.09,-20.889
4.1,-21.924
4.11,-22.872
4.12,-22.482
4.13,-21.164
4.14,-18.468
4.15,-14.924
4.16,-11.49
4.17,-7.73
4.18,-3.585
4.19,0.338
4.2,4.158
4.21,7.956
4.22,11.275
4.23,14.081
4.24,16.548
4.25,17.975
4.26,17.779
4.27,16.451
4.28,14.43
4.29,11.513
4.3,8.208
4.31,4.167
4.32,-0.128
4.33,-4.341
4.34,-8.595
4.35,-12.965
4.36,-17.015
4.37,-20.738
4.38,-23.903
4.39,-26.806
4.4,-28.603
4.41,-28.894
4.42,-27.917
4.43,-26.118
4.44,-23.783
4.45,-20.907
4.46,-17.372
4.47,-13.067
4.48,-7.618
4.49,-2.093
4.5,3.407
4.51,8.537
4.52,12.834
4.53,16.831
4.54,20.105
4.55,22.678
4.56,24.58
4.57,25.19
4.58,24.876
4.59,23.57
4.6,21.826
4.61,19.556
4.62,16.403
4.63,12.886
4.64,9.086
4.65,5.337
4.66,1.532
4.67,-2.023
4.68,-6.313
4.69,-10.768
4.7,-14.452
4.71,-17.717
4.72,-20.457
4.73,-22.027
4.74,-22.719
4.75,-22.783
4.76,-22.274
4.77,-20.357
4.78,-18.017
4.79,-14.807
4.8,-11.478
4.81,-7.346
4.82,-2.944
4.83,1.58
4.84,5.894
4.85,10.288
4.86,14.351
4.87,18.048
4.88,21.482
4.89,24.471
4.9,27.627
4.91,30.059
4.92,31.436
4.93,31.049
4.94,29.315
4.95,27.192
4.96,23.848
4.97,20.125
4.98,15.857
4.99,10.819
5,5.359
5.01,0.016
5.02,-5.66
5.03,-11.426
5.04,-17.085
5.05,-22.252
5.06,-26.795
5.07,-30.026
5.08,-31.94
5.09,-32.787
5.1,-32.597
5.11,-30.378
5.12,-26.489
5.13,-20.666
5.14,-13.882
5.15,-6.518
5.16,0.713
5.17,8.002
5.18,14.974
5.19,21.556
5.2,27.81
5.21,33.015
5.22,36.902
5.23,40.07
5.24,41.921
5.25,42.206
5.26,40.684
5.27,37.832
5.28,33.36
5.29,27.354
5.3,19.922
5.31,12.337
5.32,4.955
5.33,-1.865
5.34,-8.533
5.35,-14.695
5.36,-20.41
5.37,-25.425
5.38,-29.682
5.39,-33.121
5.4,-35.693
5.41,-36.501
5.42,-35.772
5.43,-33.095
5.44,-29.464
5.45,-24.353
5.46,-18.997
5.47,-12.693
5.48,-6.025
5.49,0.39
5.5,5.853
5.51,10.7
5.52,14.948
5.53,18.362
5.54,20.51
5.55,21.272
5.56,21.121
5.57,20.071
5.58,17.89
5.59,14.874
5.6,11.758
5.61,8.224
5.62,4.663
5.63,1.159
5.64,-1.673
5.65,-4.481
5.66,-7.272
5.67,-9.369
5.68,-10.579
5.69,-11.282
5.7,-11.18
5.71,-10.281
5.72,-8.811
5.73,-6.949
5.74,-4.943
5.75,-3.165
5.76,-1.473
5.77,0.09
5.78,2.101
5.79,4.089
5.8,6.037
5.81,6.917
5.82,7
5.83,6.446
5.84,5.111
5.85,2.797
5.86,-0.081
5.87,-3.442
5.88,-7.765
5.89,-12.786
5.9,-16.734
5.91,-18.844
5.92,-19.68
5.93,-19.982
5.94,-20.4
5.95,-20.464
5.96,-19.316
5.97,-16.707
5.98,-13.096
5.99,-9.063
6,-5.41
6.01,-2.035
6.02,1.201
6.03,4.673
6.04,8.331
6.05,11.519
6.06,13.434
6.07,14.574
6.08,14.987
6.09,14.813
6.1,14.481
6.11,13.787
6.12,12.379
6.13,10.339
6.14,8.615
6.15,7.284
6.16,6.147
6.17,4.821
6.18,3.296
6.19,1.689
6.2,-0.66
6.21,-4.109
6.22,-6.832
6.23,-9.04
6.24,-10.631
6.25,-11.82
6.26,-12.437
6.27,-12.812
6.28,-12.956
6.29,-13.17
6.3,-12.168
6.31,-10.355
6.32,-8.305
6.33,-6.245
6.34,-4.011
6.35,-1.368
6.36,1.91
6.37,5.511
6.38,8.436
6.39,11.367
6.4,13.985
6.41,15.868
6.42,17.042
6.43,17.78
6.44,18.119
6.45,17.392
6.46,16.163
6.47,14.662
6.48,12.376
6.49,10.07
6.5,7.391
6.51,3.577
6.52,-0.155
6.53,-3.618
6.54,-6.507
6.55,-9.053
6.56,-10.942
6.57,-12.608
6.58,-13.948
6.59,-14.687
6.6,-14.873
6.61,-14.454
6.62,-14.208
6.63,-12.921
6.64,-10.457
6.65,-7.548
6.66,-4.126
6.67,-0.948
6.68,1.979
6.69,5.237
6.7,8.506
6.71,11.394
6.72,13.652
6.73,15.353
6.74,15.818
6.75,15.967
6.76,15.55
6.77,14.447
6.78,13.076
6.79,11.021
6.8,8.815
6.81,6.391
6.82,3.266
6.83,0.013
6.84,-3.035
6.85,-5.64
6.86,-7.903
6.87,-9.57
6.88,-11.221
6.89,-13.019
6.9,-14.354
6.91,-14.714
6.92,-14.006
6.93,-13.314
6.94,-11.644
6.95,-9.353
6.96,-6.626
6.97,-3.235
6.98,0.262
6.99,3.489
7,5.982
7.01,8.218
7.02,10.441
7.03,12.66
7.04,14.387
7.05,15.773
7.06,16.984
7.07,17.604
7.08,17.267
7.09,16.268
7.1,14.619
7.11,12.657
7.12,10.175
7.13,6.857
7.14,2.621
7.15,-1.786
7.16,-5.969
7.17,-9.692
7.18,-12.869
7.19,-15.595
7.2,-18.103
7.21,-19.902
7.22,-21.306
7.23,-21.95
7.24,-21.855
7.25,-20.717
7.26,-19.205
7.27,-17.948
7.28,-16.303
7.29,-14.036
7.3,-10.797
7.31,-6.384
7.32,-1.698
7.33,2.486
7.34,6.354
7.35,9.444
7.36,12.609
7.37,15.535
7.38,17.424
7.39,18.845
7.4,19.13
7.41,18.236
7.42,17.001
7.43,15.31
7.44,13.656
7.45,11.711
7.46,9.03
7.47,6.027
7.48,2.624
7.49,-1.024
7.5,-4.257
7.51,-7.927
7.52,-11.642
7.53,-15.355
7.54,-18.628
7.55,-20.751
7.56,-21.818
7.57,-22.863
7.58,-23.779
7.59,-23.573
7.6,-22.335
7.61,-20.22
7.62,-16.674
7.63,-11.933
7.64,-6.831
7.65,-1.62
7.66,3.898
7.67,9.657
7.68,15.294
7.69,21.247
7.7,26.184
7.71,29.528
7.72,31.524
7.73,32.509
7.74,33.149
7.75,33.236
7.76,31.672
7.77,28.931
7.78,24.455
7.79,18.603
7.8,12.346
7.81,5.31
7.82,-2.271
7.83,-10.045
7.84,-17.171
7.85,-23.733
7.86,-29.078
7.87,-33.551
7.88,-36.982
7.89,-39.05
7.9,-39.672
7.91,-39.347
7.92,-37.108
7.93,-33.221
7.94,-27.523
7.95,-20.344
7.96,-11.763
7.97,-3.018
7.98,5.51
7.99,13.746
8,21.285
8.01,28.452
8.02,34.899
8.03,40.617
8.04,44.821
8.05,47.252
8.06,48.698
8.07,49.61
8.08,49.279
8.09,46.842
8.1,42.235
8.11,35.894
8.12,27.939
8.13,18.597
8.14,8.363
8.15,-2.531
8.16,-13.672
8.17,-24.112
8.18,-33.169
8.19,-40.494
8.2,-46.184
8.21,-50.153
8.22,-52.907
8.23,-54.242
8.24,-53.852
8.25,-51.099
8.26,-46.304
8.27,-40.13
8.28,-32.315
8.29,-23.095
8.3,-13.975
8.31,-4.173
8.32,6.145
8.33,16.329
8.34,25.683
8.35,34.036
8.36,40.808
8.37,46.333
8.38,49.964
8.39,51.314
8.4,50.528
8.41,47.742
8.42,42.701
8.43,36.686
8.44,29.567
8.45,21.886
8.46,13.579
8.47,4.776
8.48,-3.68
8.49,-11.738
8.5,-19.017
8.51,-25.142
8.52,-30.346
8.53,-34.476
8.54,-36.859
8.55,-37.391
8.56,-36.876
8.57,-34.605
8.58,-31.166
8.59,-27.018
8.6,-22.294
8.61,-17.253
8.62,-11.902
8.63,-6.671
8.64,-1.766
8.65,2.195
8.66,4.922
8.67,6.714
8.68,7.899
8.69,8.929
8.7,9.415
8.71,9.548
8.72,9.016
8.73,8.277
8.74,7.577
8.75,7.389
8.76,6.795
8.77,6.071
8.78,5.931
8.79,6.131
8.8,6.161
8.81,6.186
8.82,6.107
8.83,5.728
8.84,5.397
8.85,5.25
8.86,5.178
8.87,4.277
8.88,2.943
8.89,1.512
8.9,-0.243
8.91,-2.275
8.92,-4.048
8.93,-5.917
8.94,-7.556
8.95,-8.826
8.96,-10.648
8.97,-12.426
8.98,-13.398
8.99,-14.251
9,-15.097
9.01,-15.52
9.02,-15.679
9.03,-15.648
9.04,-15.231
9.05,-14.355
9.06,-12.264
9.07,-8.985
9.08,-4.992
9.09,-0.861
9.1,3.56
9.11,7.506
9.12,11.06
9.13,13.963
9.14,16.502
9.15,18.615
9.16,20.231
9.17,20.343
9.18,19.548
9.19,18.298
9.2,16.697
9.21,14.707
9.22,11.507
9.23,7.081
9.24,1.667
9.25,-5.007
9.26,-11.113
9.27,-16.044
9.28,-20.76
9.29,-24.488
9.3,-27.179
9.31,-28.877
9.32,-29.139
9.33,-28.008
9.34,-24.886
9.35,-20.111
9.36,-14.883
9.37,-9.489
9.38,-4.051
9.39,1.767
9.4,8.591
9.41,16.066
9.42,22.6
9.43,28.063
9.44,32.842
9.45,36.462
9.46,39.184
9.47,40.544
9.48,39.865
9.49,37.114
9.5,32.953
9.51,27.779
9.52,21.706
9.53,14.855
9.54,8.124
9.55,1.613
9.56,-4.973
9.57,-12.182
9.58,-19.73
9.59,-26.481
9.6,-31.683
9.61,-35.13
9.62,-37.463
9.63,-38.676
9.64,-38.922
9.65,-37.116
9.66,-33.609
9.67,-28.509
9.68,-22.574
9.69,-16.203
9.7,-9.198
9.71,-2.19
9.72,5.269
9.73,12.468
9.74,19.263
9.75,25.126
9.76,29.775
9.77,33.172
9.78,35.43
9.79,36.667
9.8,37.199
9.81,36.758
9.82,34.778
9.83,31.768
9.84,27.758
9.85,22.676
9.86,17.137
9.87,11.323
9.88,5.415
9.89,-0.881
9.9,-7.258
9.91,-13.377
9.92,-18.796
9.93,-23.109
9.94,-25.62
9.95,-27.444
9.96,-28.888
9.97,-30.173
9.98,-30.434
9.99,-29.605
10,-28.016
10.01,-25.718
10.02,-23.321
10.03,-19.695
10.04,-15.045
10.05,-9.668
10.06,-4.177
10.07,1.221
10.08,6.726
10.09,11.484
10.1,15.721
10.11,19.356
10.12,23.07
10.13,25.736
10.14,27.465
10.15,28.787
10.16,28.759
10.17,28.314
10.18,27.329
10.19,25.282
10.2,22.072
10.21,17.353
10.22,12.004
10.23,6.288
10.24,0.617
10.25,-4.977
10.26,-10.43
10.27,-15.569
10.28,-20.55
10.29,-25.192
10.3,-29.118
10.31,-31.455
10.32,-33.154
10.33,-33.612
10.34,-33.519
10.35,-32.506
10.36,-30.175
10.37,-26.871
10.38,-22.176
10.39,-15.901
10.4,-8.34
10.41,-0.376
10.42,7.582
10.43,14.751
10.44,21.114
10.45,26.963
10.46,32.206
10.47,36.103
10.48,37.995
10.49,38.463
10.5,37.969
10.51,36.076
10.52,33.396
10.53,29.654
10.54,24.555
10.55,17.967
10.56,10.521
10.57,2.551
10.58,-5.629
10.59,-13.473
10.6,-21.34
10.61,-28.956
10.62,-34.805
10.63,-38.759
10.64,-40.837
10.65,-41.06
10.66,-39.853
10.67,-37.176
10.68,-32.59
10.69,-26.981
10.7,-20.742
10.71,-14.02
10.72,-6.623
10.73,1.404
10.74,9.22
10.75,16.506
10.76,23.861
10.77,30.327
10.78,36.097
10.79,40.473
10.8,43.337
10.81,43.543
10.82,41.553
10.83,37.724
10.84,33.117
10.85,28.051
10.86,22.837
10.87,16.453
10.88,9.35
10.89,1.989
10.9,-5.65
10.91,-12.948
10.92,-19.584
10.93,-25.77
10.94,-31.09
10.95,-35.686
10.96,-38.771
10.97,-40.177
10.98,-40.353
10.99,-39.179
11,-36.101
11.01,-30.799
11.02,-24.374
11.03,-17.067
11.04,-8.814
11.05,0.05
11.06,8.341
11.07,16.3
11.08,23.411
11.09,30.177
11.1,36.344
11.11,41.527
11.12,45.446
11.13,47.113
11.14,47.128
11.15,45.81
11.16,42.236
11.17,36.922
11.18,29.759
11.19,21.03
11.2,11.47
11.21,1.949
11.22,-6.463
11.23,-14.773
11.24,-22.415
11.25,-29.231
11.26,-34.607
11.27,-38.404
11.28,-40.279
11.29,-40.847
11.3,-39.92
11.31,-37.899
11.32,-34.092
11.33,-28.563
11.34,-21.653
11.35,-13.201
11.36,-3.9
11.37,5.583
11.38,14.198
11.39,21.533
11.4,27.335
11.41,31.278
11.42,33.425
11.43,33.539
11.44,32.685
11.45,30.577
11.46,26.672
11.47,21.411
11.48,16.046
11.49,10.844
11.5,5.126
11.51,-1.443
11.52,-7.885
11.53,-14.061
11.54,-20.126
11.55,-25.136
11.56,-28.809
11.57,-30.777
11.58,-31.791
11.59,-30.81
11.6,-28.349
11.61,-24.897
11.62,-20.209
11.63,-14.799
11.64,-9.389
11.65,-5.128
11.66,-1.386
11.67,2.213
11.68,5.892
11.69,8.901
11.7,11.531
11.71,13.994
11.72,15.689
11.73,16.609
11.74,16.274
11.75,14.734
11.76,12.268
11.77,9.378
11.78,5.884
11.79,1.617
11.8,-2.679
11.81,-6.456
11.82,-9.551
11.83,-11.444
11.84,-12.981
11.85,-14.146
11.86,-15.158
11.87,-15.614
11.88,-16.012
11.89,-16.043
11.9,-15.816
11.91,-14.714
11.92,-13.071
11.93,-10.944
11.94,-8.535
11.95,-5.279
11.96,-1.704
11.97,1.967
11.98,5.013
11.99,7.318
12,8.466
12.01,8.975
12.02,9.484
12.03,9.664
12.04,8.836
12.05,7.066
12.06,4.6
12.07,2.451
12.08,0.946
12.09,-0.269
12.1,-0.943
12.11,-2.015
12.12,-3.644
12.13,-5.245
12.14,-6.196
12.15,-5.393
12.16,-2.948
12.17,0.153
12.18,3.445
12.19,7.169
12.2,10.615
12.21,13.687
12.22,16.229
12.23,17.433
12.24,17.343
12.25,15.651
12.26,12.943
12.27,10.13
12.28,7.276
12.29,3.478
12.3,-0.628
12.31,-4.989
12.32,-9.975
12.33,-14.849
12.34,-19.95
12.35,-23.962
12.36,-27.11
12.37,-29.988
12.38,-31.707
12.39,-31.969
12.4,-30.363
12.41,-27.588
12.42,-23.144
12.43,-17.906
12.44,-12.154
12.45,-5.79
12.46,0.581
12.47,6.416
12.48,12.348
12.49,18.497
12.5,23.895
12.51,28.851
12.52,33.231
12.53,36.095
12.54,37.279
12.55,36.965
12.56,36.109
12.57,34.053
12.58,30.48
12.59,24.847
12.6,18.273
12.61,10.688
12.62,2.674
12.63,-5.055
12.64,-12.629
12.65,-20.068
12.66,-26.609
12.67,-32.7
12.68,-37.331
12.69,-40.746
12.7,-41.951
12.71,-41.569
12.72,-39.99
12.73,-36.329
12.74,-31.495
12.75,-25.119
12.76,-17.495
12.77,-9.481
12.78,-1.68
12.79,6.336
12.8,14.33
12.81,21.92
12.82,29.018
12.83,34.684
12.84,38.816
12.85,41.202
12.86,41.846
12.87,40.719
12.88,37.868
12.89,33.813
12.9,28.356
12.91,21.765
12.92,14.687
12.93,7.182
12.94,-0.504
12.95,-8.525
12.96,-16.17
12.97,-22.709
12.98,-28.037
12.99,-32.264
13,-35.543
13.01,-38.342
13.02,-39.574
13.03,-39.196
13.04,-36.997
13.05,-33.9
13.06,-29.827
13.07,-24.376
13.08,-18.212
13.09,-11.304
13.1,-4.345
13.11,2.519
13.12,9.229
13.13,15.996
13.14,22.009
13.15,27.03
13.16,30.129
13.17,31.713
13.18,31.919
13.19,30.764
13.2,29.076
13.21,26.33
13.22,22.701
13.23,18.557
13.24,13.284
13.25,7.768
13.26,2.039
13.27,-3.055
13.28,-8.081
13.29,-12.621
13.3,-16.356
13.31,-19.291
13.32,-20.703
13.33,-20.77
13.34,-19.786
13.35,-17.842
13.36,-15.601
13.37,-13.585
13.38,-11.509
13.39,-8.696
13.4,-5.233
13.41,-2.065
13.42,1.39
13.43,5.127
13.44,8.335
13.45,10.594
13.46,12.513
13.47,13.798
13.48,14.063
13.49,13.726
13.5,12.837
13.51,11.434
13.52,9.917
13.53,8.322
13.54,6.37
13.55,4.096
13.56,1.61
13.57,-0.688
13.58,-2.688
13.59,-3.868
13.6,-4.477
13.61,-4.045
13.62,-3.405
13.63,-2.405
13.64,-1.563
13.65,-0.674
13.66,-0.204
13.67,-0.215
13.68,-0.137
13.69,0.076
13.7,0.89
13.71,1.828
13.72,2.638
13.73,3.619
13.74,3.731
13.75,2.459
13.76,0.895
13.77,-0.615
13.78,-3.362
13.79,-6.457
13.8,-9.568
13.81,-11.941
13.82,-13.363
13.83,-14.304
13.84,-14.32
13.85,-13.053
13.86,-11.454
13.87,-8.844
13.88,-6.001
13.89,-3.343
13.9,-0.345
13.91,2.923
13.92,6.626
13.93,11.02
13.94,15.179
13.95,19.256
13.96,22.956
13.97,25.77
13.98,27.584
13.99,28.021
14,27.479
14.01,25.565
14.02,22.517
14.03,19.13
14.04,14.869
14.05,9.785
14.06,4.035
14.07,-1.576
14.08,-6.857
14.09,-12.001
14.1,-17.006
14.11,-21.583
14.12,-25.689
14.13,-29.547
14.14,-32.501
14.15,-34.457
14.16,-35.116
14.17,-33.585
14.18,-30.536
14.19,-25.832
14.2,-19.619
14.21,-12.11
14.22,-3.977
14.23,3.463
14.24,10.64
14.25,17.33
14.26,23.479
14.27,28.958
14.28,33.559
14.29,37.444
14.3,39.758
14.31,41.062
14.32,40.885
14.33,38.334
14.34,34.424
14.35,28.63
14.36,21.535
14.37,14.083
14.38,5.898
14.39,-2.548
14.4,-11.035
14.41,-18.965
14.42,-25.706
14.43,-31.324
14.44,-35.861
14.45,-39.516
14.46,-42.278
14.47,-43.619
14.48,-43.08
14.49,-40.566
14.5,-35.629
14.51,-29.13
14.52,-21.225
14.53,-12.836
14.54,-3.526
14.55,6.565
14.56,16.196
14.57,25.193
14.58,33.504
14.59,40.275
14.6,45.545
14.61,49.386
14.62,51.774
14.63,52.316
14.64,51.003
14.65,47.09
14.66,41.305
14.67,34.05
14.68,25.401
14.69,15.849
14.7,5.169
14.71,-6.08
14.72,-17.118
14.73,-27.292
14.74,-36.518
14.75,-44.841
14.76,-51.114
14.77,-54.753
14.78,-55.75
14.79,-53.763
14.8,-49.53
14.81,-43.461
14.82,-36.293
14.83,-28.243
14.84,-19.978
14.85,-10.765
14.86,-0.434
14.87,10.641
14.88,21.785
14.89,32.237
14.9,41.76
14.91,49.488
14.92,55.658
14.93,59.987
14.94,61.451
14.95,60.401
14.96,57.36
14.97,52.092
14.98,44.837
14.99,36.59
15,27.755
15.01,18.777
15.02,9.13
15.03,-1.254
15.04,-11.561
15.05,-21.048
15.06,-29.523
15.07,-37.171
15.08,-43.592
15.09,-47.886
15.1,-50.17
15.11,-49.526
15.12,-46.312
15.13,-41.064
15.14,-33.911
15.15,-25.857
15.16,-17.28
15.17,-8.104
15.18,0.267
15.19,7.857
15.2,14.621
15.21,20.791
15.22,26.112
15.23,30.376
15.24,32.969
15.25,34.117
15.26,33.664
15.27,31.826
15.28,28.323
15.29,23.155
15.3,17.41
15.31,11.122
15.32,4.503
15.33,-1.636
15.34,-6.942
15.35,-10.565
15.36,-12.963
15.37,-14.333
15.38,-15.739
15.39,-16.977
15.4,-16.979
15.41,-15.892
15.42,-12.877
15.43,-8.521
15.44,-4.51
15.45,-0.855
15.46,3.132
15.47,7.705
15.48,12.38
15.49,15.943
15.5,17.946
15.51,18.445
15.52,17.31
15.53,15.292
15.54,12.167
15.55,7.848
15.56,3.222
15.57,-1.672
15.58,-7.379
15.59,-13.066
15.6,-18.368
15.61,-22.282
15.62,-25.283
15.63,-28.154
15.64,-29.985
15.65,-30.652
15.66,-31.168
15.67,-30.027
15.68,-26.834
15.69,-22.304
15.7,-16.455
15.71,-10.076
15.72,-3.714
15.73,3.101
15.74,10.198
15.75,16.661
15.76,21.749
15.77,26.054
15.78,29.064
15.79,31.01
15.8,32.158
15.81,32.106
15.82,31.507
15.83,29.628
15.84,27.202
15.85,23.513
15.86,17.772
15.87,10.872
15.88,2.818
15.89,-5.828
15.9,-14.571
15.91,-21.8
15.92,-28.512
15.93,-34.558
15.94,-38.34
15.95,-39.94
15.96,-40.56
15.97,-40.253
15.98,-39.389
15.99,-38.591
16,-37.433
16.01,-35.344
16.02,-31.537
16.03,-25.953
16.04,-19.081
16.05,-11.365
16.06,-2.79
16.07,6.241
16.08,14.676
16.09,22.201
16.1,27.922
16.11,32.2
16.12,34.575
16.13,35.739
16.14,36.511
16.15,36.843
16.16,36.878
16.17,35.674
16.18,32.692
16.19,27.879
16.2,22.23
16.21,15.371
16.22,6.936
16.23,-2.523
16.24,-12.35
16.25,-20.885
16.26,-27.447
16.27,-31.715
16.28,-33.726
16.29,-34.498
16.3,-34.072
16.31,-32.605
16.32,-30.425
16.33,-27.793
16.34,-24.659
16.35,-20.499
16.36,-15.214
16.37,-9.172
16.38,-2.713
16.39,3.635
16.4,10.203
16.41,16.015
16.42,19.82
16.43,22.577
16.44,24.702
16.45,25.836
16.46,25.753
16.47,24.392
16.48,21.617
16.49,18.229
